species	base	subsystem	raw_c	raw_f	rel_c	rel_f
Sorghum	rxn00001	UDP-glucose_and_UDP-galactose_biosynthesis	1223.1036	1197.3063	0.0013	0.0016
Sorghum	rxn00018	Calvin-Benson-Bassham_cycle	6913.7991	7567.2379	0.0074	0.0099
Sorghum	rxn00029	Core_tetrapyrrole_biosynthesis	225.7277	274.4844	0.0002	0.0004
Sorghum	rxn00048	Riboflavin,_FMN_and_FAD_biosynthesis	37.8563	44.3142	0.0	0.0001
Sorghum	rxn00060	Core_tetrapyrrole_biosynthesis	0.5487	0.6863	0.0	0.0
Sorghum	rxn00069	Glutamine,_glutamate,_aspartate,_asparagine_metabolism	369.2496	193.0036	0.0005	0.0002
Sorghum	rxn00076	Niacin,_NAD_and_NADP_biosynthesis	43.2411	57.8825	0.0	0.0001
Sorghum	rxn00077	Niacin,_NAD_and_NADP_biosynthesis	302.9637	268.9751	0.0004	0.0004
Sorghum	rxn00086	Reductants	84.4556	93.6209	0.0001	0.0001
Sorghum	rxn00097	Purine_de_novo_biosynthesis	3536.5818	3386.7938	0.0038	0.0048
Sorghum	rxn00102	Pyrimidine_de_novo_biosynthesis	22623.7712	19746.1188	0.0247	0.0266
Sorghum	rxn00117	Purine_de_novo_biosynthesis	4.2057	4.3428	0.0	0.0
Sorghum	rxn00121	Riboflavin,_FMN_and_FAD_biosynthesis	52.4737	63.6437	0.0001	0.0001
Sorghum	rxn00122	Riboflavin,_FMN_and_FAD_biosynthesis	14.8518	21.2319	0.0	0.0
Sorghum	rxn00124	Pyridoxine_(vitamin_B6)_biosynthesis	4.6076	4.6447	0.0	0.0
Sorghum	rxn00148	Glycolysis_and_Gluconeogenesis	221.9475	175.737	0.0002	0.0002
Sorghum	rxn00151	Glutamine,_glutamate,_aspartate,_asparagine_metabolism	24031.7107	22016.1238	0.0267	0.0302
Sorghum	rxn00154	Acetyl-CoA_biosynthesis	69.8762	72.5825	0.0001	0.0001
Sorghum	rxn00175	Acetyl-CoA_biosynthesis	240.1694	242.5921	0.0003	0.0003
Sorghum	rxn00187	Glutamine,_glutamate,_aspartate,_asparagine_metabolism	280.9279	295.0484	0.0003	0.0004
Sorghum	rxn00191	Alanine,_serine,_glycine_metabolism	286.4608	604.5877	0.0003	0.001
Sorghum	rxn00192	Arginine_metabolism_and_urea_cycle	365.1373	321.6041	0.0004	0.0004
Sorghum	rxn00211	Galactose_degradation	91.9228	70.1744	0.0001	0.0001
Sorghum	rxn00224	Heme_and_Siroheme_biosynthesis	385.2962	449.064	0.0004	0.0007
Sorghum	rxn00237	Purine_de_novo_biosynthesis	4.2057	4.3428	0.0	0.0
Sorghum	rxn00248	Glycolysis_and_Gluconeogenesis	170.4684	116.2856	0.0002	0.0001
Sorghum	rxn00249	Calvin-Benson-Bassham_cycle	989.8509	1137.2366	0.0011	0.0017
Sorghum	rxn00257	Acetyl-CoA_biosynthesis	110.2707	133.7521	0.0001	0.0002
Sorghum	rxn00260	Glutamine,_glutamate,_aspartate,_asparagine_metabolism	438.1208	388.4674	0.0005	0.0005
Sorghum	rxn00272	Alanine,_serine,_glycine_metabolism	651.3596	652.4478	0.0007	0.001
Sorghum	rxn00275	Alanine,_serine,_glycine_metabolism	788.22	879.2543	0.0009	0.0014
Sorghum	rxn00300	Riboflavin,_FMN_and_FAD_biosynthesis	196.0731	204.3669	0.0002	0.0003
Sorghum	rxn00313	Lysine_and_threonine_metabolism	40.837	52.8811	0.0	0.0001
Sorghum	rxn00330	TCA_cycle	0.2344	0.0246	0.0	0.0
Sorghum	rxn00333	Photorespiration_(oxidative_C2_cycle)	1142.5364	1026.2771	0.0013	0.0015
Sorghum	rxn00337	Lysine_and_threonine_metabolism	304.494	267.9577	0.0003	0.0004
Sorghum	rxn00338	Niacin,_NAD_and_NADP_biosynthesis	66.9066	56.4246	0.0001	0.0001
Sorghum	rxn00379	Sulfur_metabolism	998.4587	650.7462	0.001	0.0008
Sorghum	rxn00391	Riboflavin,_FMN_and_FAD_biosynthesis	16.5189	15.5062	0.0	0.0
Sorghum	rxn00394	Arginine_metabolism_and_urea_cycle	41.5064	44.3125	0.0	0.0001
Sorghum	rxn00409	Purine_de_novo_biosynthesis	4.2057	4.3428	0.0	0.0
Sorghum	rxn00414	Arginine_metabolism_and_urea_cycle	94.7461	83.2548	0.0001	0.0001
Sorghum	rxn00416	Glutamine,_glutamate,_aspartate,_asparagine_metabolism	43.0399	56.6407	0.0	0.0001
Sorghum	rxn00420	Alanine,_serine,_glycine_metabolism	18.3165	25.738	0.0	0.0
Sorghum	rxn00459	Glycolysis_and_Gluconeogenesis	6.1831	5.7708	0.0	0.0
Sorghum	rxn00474	Tryptophan_metabolism	15.3016	20.3766	0.0	0.0
Sorghum	rxn00490	Tyrosine_and_phenylalanine_metabolism	163.3351	157.1633	0.0002	0.0002
Sorghum	rxn00493	Glutamine,_glutamate,_aspartate,_asparagine_metabolism	438.1208	388.4674	0.0005	0.0005
Sorghum	rxn00495	Lignin_biosynthesis	1176.061	1697.4778	0.0013	0.0025
Sorghum	rxn00499	Acetyl-CoA_biosynthesis	17.7541	14.4221	0.0	0.0
Sorghum	rxn00526	Tyrosine_and_phenylalanine_metabolism	43.0845	50.1027	0.0	0.0001
Sorghum	rxn00527	Glutamine,_glutamate,_aspartate,_asparagine_metabolism	551.9594	496.2728	0.0006	0.0007
Sorghum	rxn00611	CDP-diacylglycerol_biosynthesis	32.7678	56.4079	0.0	0.0001
Sorghum	rxn00646	Glutathionine_biosynthesis	100.5359	91.7398	0.0001	0.0001
Sorghum	rxn00689	Folate_biosynthesis	47.9142	48.8148	0.0001	0.0001
Sorghum	rxn00692	Alanine,_serine,_glycine_metabolism	207.5613	263.0318	0.0002	0.0004
Sorghum	rxn00710	Pyrimidine_de_novo_biosynthesis	8.4147	13.7596	0.0	0.0
Sorghum	rxn00711	Pyrimidine_de_novo_biosynthesis	13.7418	17.0581	0.0	0.0
Sorghum	rxn00720	Beta_alanine_biosynthesis	12.4043	20.2752	0.0	0.0
Sorghum	rxn00727	Tryptophan_metabolism	43.4579	42.5286	0.0	0.0001
Sorghum	rxn00737	Branched-chain_amino_acid_metabolism	46.281	38.2534	0.0001	0.0001
Sorghum	rxn00747	Calvin-Benson-Bassham_cycle	1712.5496	1700.3535	0.0018	0.0024
Sorghum	rxn00770	Pentose_phosphate_pathway	19.4569	23.2264	0.0	0.0
Sorghum	rxn00777	Calvin-Benson-Bassham_cycle	539.5955	406.5701	0.0006	0.0005
Sorghum	rxn00781	Glycolysis_and_Gluconeogenesis	10239.4236	8249.4762	0.0111	0.011
Sorghum	rxn00782	Calvin-Benson-Bassham_cycle	10185.7892	8192.0542	0.011	0.0109
Sorghum	rxn00789	Histidine_Biosynthesis	93.9102	89.4499	0.0001	0.0001
Sorghum	rxn00790	Purine_de_novo_biosynthesis	138.0642	66.8715	0.0002	0.0001
Sorghum	rxn00791	Tryptophan_metabolism	17.0204	19.846	0.0	0.0
Sorghum	rxn00799	TCA_cycle	37.7852	39.7432	0.0	0.0001
Sorghum	rxn00800	Purine_de_novo_biosynthesis	7.3878	9.9243	0.0	0.0
Sorghum	rxn00802	Arginine_metabolism_and_urea_cycle	4.5845	6.7542	0.0	0.0
Sorghum	rxn00806	Branched-chain_amino_acid_metabolism	63.6058	52.5131	0.0001	0.0001
Sorghum	rxn00830	Geranylgeranyldiphosphate_biosynthesis	94.2757	72.3466	0.0001	0.0001
Sorghum	rxn00832	Purine_de_novo_biosynthesis	15.1924	17.2327	0.0	0.0
Sorghum	rxn00838	Histidine_Biosynthesis	151.0646	176.3072	0.0002	0.0002
Sorghum	rxn00839	Purine_de_novo_biosynthesis	4.2057	4.3428	0.0	0.0
Sorghum	rxn00863	Histidine_Biosynthesis	14.6185	15.1854	0.0	0.0
Sorghum	rxn00902	Branched-chain_amino_acid_metabolism	135.1573	164.6583	0.0001	0.0003
Sorghum	rxn00903	Branched-chain_amino_acid_metabolism	63.6058	52.5131	0.0001	0.0001
Sorghum	rxn00907	Folate-mediated_one-carbon_metabolism	4.3169	5.882	0.0	0.0
Sorghum	rxn00931	Proline_metabolism	2.6452	2.1938	0.0	0.0
Sorghum	rxn00947	Fatty_acid_biosynthesis_(plastidial)	7.8904	12.2653	0.0	0.0
Sorghum	rxn00974	Glutamine,_glutamate,_aspartate,_asparagine_metabolism	95.178	65.2301	0.0001	0.0001
Sorghum	rxn00980	Photorespiration_(oxidative_C2_cycle)	279.7369	290.1636	0.0003	0.0004
Sorghum	rxn01000	Tyrosine_and_phenylalanine_metabolism	110.5808	105.9398	0.0001	0.0001
Sorghum	rxn01007	UDP-D-glucuronate,_UDP-D-xylose_and_UDP-D-apiose_biosynthesis	215.1337	219.5686	0.0002	0.0003
Sorghum	rxn01011	Photorespiration_(oxidative_C2_cycle)	1320.9932	1185.685	0.0015	0.0017
