,cpd00001_c0,cpd00001_d0,cpd00001_e0,cpd00002_c0,cpd00002_d0,cpd00003_c0,cpd00003_d0,cpd00004_c0,cpd00004_d0,cpd00005_c0,cpd00005_d0,cpd00006_c0,cpd00006_d0,cpd00007_c0,cpd00007_d0,cpd00007_e0,cpd00008_c0,cpd00008_d0,cpd00009_c0,cpd00009_d0,cpd00009_e0,cpd00010_c0,cpd00010_d0,cpd00011_c0,cpd00011_d0,cpd00011_e0,cpd00012_c0,cpd00012_d0,cpd00013_c0,cpd00013_d0,cpd00013_e0,cpd00014_d0,cpd00015_d0,cpd00016_d0,cpd00017_d0,cpd00018_d0,cpd00019_d0,cpd00020_c0,cpd00020_d0,cpd00022_c0,cpd00022_d0,cpd00023_d0,cpd00024_d0,cpd00025_d0,cpd00026_d0,cpd00027_d0,cpd00028_d0,cpd00029_d0,cpd00031_d0,cpd00032_c0,cpd00032_d0,cpd00033_d0,cpd00035_d0,cpd00038_d0,cpd00039_d0,cpd00040_c0,cpd00040_d0,cpd00041_d0,cpd00042_d0,cpd00044_d0,cpd00046_d0,cpd00047_d0,cpd00048_c0,cpd00048_d0,cpd00048_e0,cpd00050_d0,cpd00051_d0,cpd00052_d0,cpd00053_d0,cpd00054_d0,cpd00060_d0,cpd00061_d0,cpd00062_d0,cpd00064_d0,cpd00065_d0,cpd00066_c0,cpd00066_d0,cpd00067_c0,cpd00067_d0,cpd00067_e0,cpd00067_y0,cpd00069_d0,cpd00070_d0,cpd00071_d0,cpd00072_d0,cpd00073_d0,cpd00075_d0,cpd00076_d0,cpd00080_d0,cpd00081_d0,cpd00084_d0,cpd00087_d0,cpd00089_d0,cpd00091_c0,cpd00091_d0,cpd00092_d0,cpd00093_d0,cpd00094_d0,cpd00095_d0,cpd00096_d0,cpd00101_d0,cpd00102_d0,cpd00103_c0,cpd00103_d0,cpd00106_c0,cpd00106_d0,cpd00107_d0,cpd00111_d0,cpd00113_d0,cpd00114_d0,cpd00115_d0,cpd00119_d0,cpd00123_d0,cpd00125_c0,cpd00125_d0,cpd00126_d0,cpd00129_d0,cpd00130_c0,cpd00130_d0,cpd00132_d0,cpd00133_d0,cpd00134_d0,cpd00135_d0,cpd00137_c0,cpd00137_d0,cpd00139_d0,cpd00143_d0,cpd00144_d0,cpd00145_d0,cpd00146_d0,cpd00150_d0,cpd00156_d0,cpd00159_c0,cpd00161_d0,cpd00163_d0,cpd00169_d0,cpd00171_d0,cpd00177_d0,cpd00193_d0,cpd00198_d0,cpd00200_d0,cpd00201_d0,cpd00202_d0,cpd00203_d0,cpd00204_d0,cpd00214_d0,cpd00215_d0,cpd00216_d0,cpd00219_d0,cpd00220_d0,cpd00223_d0,cpd00227_d0,cpd00236_d0,cpd00238_d0,cpd00239_d0,cpd00241_d0,cpd00242_d0,cpd00247_c0,cpd00254_d0,cpd00263_d0,cpd00274_d0,cpd00282_c0,cpd00282_d0,cpd00283_d0,cpd00284_d0,cpd00289_d0,cpd00295_d0,cpd00297_d0,cpd00305_d0,cpd00322_d0,cpd00327_d0,cpd00331_d0,cpd00333_c0,cpd00337_d0,cpd00338_d0,cpd00342_d0,cpd00343_d0,cpd00345_c0,cpd00345_d0,cpd00346_d0,cpd00347_d0,cpd00349_d0,cpd00350_d0,cpd00353_d0,cpd00355_d0,cpd00356_d0,cpd00357_d0,cpd00358_d0,cpd00359_d0,cpd00383_d0,cpd00401_d0,cpd00419_d0,cpd00426_d0,cpd00443_d0,cpd00477_d0,cpd00478_d0,cpd00481_d0,cpd00482_d0,cpd00484_d0,cpd00493_d0,cpd00497_d0,cpd00498_d0,cpd00504_d0,cpd00508_d0,cpd00516_d0,cpd00533_d0,cpd00536_d0,cpd00557_d0,cpd00604_c0,cpd00616_d0,cpd00641_d0,cpd00658_d0,cpd00689_d0,cpd00699_d0,cpd00727_d0,cpd00738_d0,cpd00755_d0,cpd00760_d0,cpd00774_d0,cpd00791_d0,cpd00793_d0,cpd00807_d0,cpd00809_d0,cpd00810_c0,cpd00858_d0,cpd00863_d0,cpd00868_d0,cpd00869_d0,cpd00871_d0,cpd00873_d0,cpd00906_d0,cpd00911_d0,cpd00918_d0,cpd00930_d0,cpd00931_d0,cpd00932_d0,cpd00939_d0,cpd00956_d0,cpd00957_d0,cpd00978_d0,cpd01080_d0,cpd01107_d0,cpd01122_d0,cpd01324_d0,cpd01335_d0,cpd01398_d0,cpd01401_d0,cpd01449_d0,cpd01476_d0,cpd01646_d0,cpd01695_d0,cpd01710_d0,cpd01716_d0,cpd01741_d0,cpd01772_d0,cpd01775_d0,cpd01777_d0,cpd01880_d0,cpd01882_d0,cpd01977_d0,cpd01982_d0,cpd02021_d0,cpd02030_d0,cpd02069_d0,cpd02083_d0,cpd02097_d0,cpd02120_d0,cpd02140_d0,cpd02152_d0,cpd02172_d0,cpd02197_d0,cpd02210_d0,cpd02216_d0,cpd02295_d0,cpd02333_d0,cpd02345_d0,cpd02346_d0,cpd02375_d0,cpd02394_d0,cpd02431_d0,cpd02465_d0,cpd02535_d0,cpd02552_d0,cpd02557_d0,cpd02590_d0,cpd02591_d0,cpd02605_d0,cpd02642_d0,cpd02654_d0,cpd02656_d0,cpd02678_d0,cpd02693_d0,cpd02720_d0,cpd02738_d0,cpd02746_d0,cpd02762_d0,cpd02775_d0,cpd02791_d0,cpd02826_d0,cpd02843_d0,cpd02851_d0,cpd02857_d0,cpd02882_d0,cpd02884_d0,cpd02893_d0,cpd02894_d0,cpd02921_d0,cpd02951_d0,cpd02979_d0,cpd02980_d0,cpd02991_d0,cpd03062_d0,cpd03091_d0,cpd03128_d0,cpd03148_d0,cpd03214_d0,cpd03426_d0,cpd03451_d0,cpd03470_d0,cpd03846_d0,cpd03847_d0,cpd04580_d0,cpd05196_d0,cpd05238_d0,cpd06227_d0,cpd06559_d0,cpd06763_d0,cpd07274_d0,cpd08210_d0,cpd08243_d0,cpd08286_d0,cpd08287_d0,cpd08288_d0,cpd08289_d0,cpd08301_d0,cpd08510_d0,cpd08615_d0,cpd08629_d0,cpd08630_d0,cpd08631_d0,cpd08692_d0,cpd08693_d0,cpd08694_d0,cpd08695_d0,cpd08696_d0,cpd08698_d0,cpd09410_d0,cpd10515_d0,cpd11217_d0,cpd11225_d0,cpd11255_d0,cpd11295_d0,cpd11296_d0,cpd11464_d0,cpd11467_d0,cpd11468_d0,cpd11469_d0,cpd11470_d0,cpd11471_d0,cpd11472_d0,cpd11473_d0,cpd11474_d0,cpd11477_d0,cpd11479_d0,cpd11480_d0,cpd11482_d0,cpd11484_d0,cpd11485_d0,cpd11486_d0,cpd11487_d0,cpd11488_d0,cpd11489_d0,cpd11490_d0,cpd11491_d0,cpd11492_d0,cpd11493_d0,cpd11630_d0,cpd11632_d0,cpd11632_e0,cpd12458_d0,cpd12844_d0,cpd14938_d0,cpd14940_d0,cpd15277_d0,cpd16335_d0,cpd16339_d0,cpd16343_d0,cpd16346_d0,cpd16443_d0,cpd16503_d0,cpd16638_d0,cpd17400_d0,cpd17401_d0,cpd17402_d0,cpd17403_d0,cpd17404_d0,cpd17405_d0,cpd17406_d0,cpd17407_d0,cpd17408_d0,cpd17409_d0,cpd17410_d0,cpd17411_d0,cpd17412_d0,cpd17413_d0,cpd17414_d0,cpd17415_d0,cpd17416_d0,cpd17417_d0,cpd17418_d0,cpd17419_d0,cpd17420_d0,cpd17421_d0,cpd17422_d0,cpd17423_d0,cpd17569_d0,cpd17570_d0,cpd17691_d0,cpd19001_d0,cpd19006_d0,cpd19019_d0,cpd19035_d0,cpd19036_d0,cpd19047_d0,cpd20964_d0,cpd20965_d0,cpd21035_d0,cpd21384_d0,cpd21904_d0,cpd22021_d0,cpd22077_d0,cpd22369_d0,cpd22445_d0,cpd23602_d0,cpd23608_d0,cpd23695_d0,cpd24196_d0,cpd24684_d0,cpd24685_d0,cpd24686_d0,cpd25603_d0,cpd25615_d0,cpd26514_d0,cpd26630_d0,cpd26694_d0,cpd26730_d0,cpd26755_d0,cpd26869_d0,cpd27101_d0,cpd27355_d0,cpd27551_d0,cpd27716_d0,cpd27735_d0,cpd27746_d0,cpd27757_d0,cpd27830_d0,cpd27847_d0,cpd27884_d0,cpd28023_d0,cpd28024_d0,cpd28030_d0,cpd28060_d0,cpd28082_d0,cpd28273_d0,cpd28473_d0,cpd30321_d0,cpd32473_d0
rxn00001_d0_f,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rxn00018_d0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rxn00029_d0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rxn00048_d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rxn00060_d0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rxn00069_d0_f,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rxn00076_d0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rxn00077_d0_f,0,0,0,0,-1,0,-1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rxn00086_d0_f,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rxn00097_d0_f,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
