Sample ID	Tissue	Treatment	Timepoint	Species	B11	Na23	Mg26	Al27	P31	S34	K39	Ca44	Fe54	Mn55	Co59	Ni60	Cu63	Zn66	As75	Se78	Rb85	Sr88	Mo98	Cd111		NDVI800	NDVI850	reNDVI	PRI1	PRI2	PRI3	WBI	NDWI1	NDWI2	SR1	SR2	SR3	SR4	SR5	DWSI	SIPI	ARI1	ARI2	CRI1	CRI2	WCRI	CCI	CCI2	NIRv	R2131	R710	VIS_mean	NIR_mean	SWIR1_mean	SWIR2_mean	Chl	Car
E1.0_P24_0H_Ctrl_L	Leaf	Control	0 h	Populus trichocarpa	35.57730733	12.45487447	1427.222679	4.279002397	3742.410268	23644.32391	27545.14637	2743.86999	28.08347189	107.5054623	0.004397762	0.351213963	3.507508635	36.66926596	0.004728367	0.003638585	1.162883888	3.366042125	21.35735387	0.008417314		0.7873699	0.833327063	0.324409481	0.034218954	0.043134933	0.050953651	0.969115825	0.040199691	0.0403377	1.42467438	2.453361211	7.796930671	12.11235811	1.964895287	0.901453818	0.841482201	-0.004029707	-0.255516108	0.07317465	0.069144944	0.23318499	0.37028913	0.45032669	49.92564308	28.44550253	32.11213907	9.403158416	62.43957129	37.72685147	21.16235755	309.4861386	28.16671601
E1.0_P32_0H_Ctrl_L	Leaf	Control	0 h	Populus trichocarpa	48.99651363	8.138662013	1569.948202	24.1302142	4311.246936	25779.12318	29285.46087	3453.965329	22.39631511	137.6593395	0.005116351	0.266034547	3.670733288	39.02047317	0.005747569	0.005327263	0.554403065	4.234500047	20.32559944	0.007758749		0.810820698	0.845673109	0.364282707	0.044408117	0.053751553	0.062082633	0.971794155	0.032799893	0.032771574	1.412514675	2.804601059	8.589081647	12.8688021	2.184187687	0.945836885	0.847797872	-0.006606724	-0.38881226	0.085807311	0.079200587	0.310369062	0.372735085	0.500831083	47.71760267	25.43792034	26.91042411	7.77723219	58.39898988	35.19852613	18.89200668	306.2989609	29.92624347
E1.0_P34_0H_Ctrl_L	Leaf	Control	0 h	Populus trichocarpa	21.38114317	6.388589481	1325.868429	2.556811626	2876.486553	19287.24587	24252.24857	1865.259301	16.70335067	83.23571443	0.002924838	0.14409322	2.16525684	25.20604347	0.001759525	0.008270589	0.54576379	2.113639905	19.49771136	0.006928194		0.829849831	0.860622216	0.381752163	0.044478586	0.054547555	0.063170405	0.970205807	0.036077888	0.036072497	1.422693292	3.039222305	9.319165625	14.17444628	2.284054874	0.987678206	0.86661906	-0.007997571	-0.455360434	0.106136383	0.098138812	0.378878505	0.381693078	0.522743829	47.24944122	24.55719604	24.92142378	6.717282821	56.39682217	33.7511112	18.16225848	304.4823857	30.96383435
E1.0_P35_0H_Ctrl_L	Leaf	Control	0 h	Populus trichocarpa	31.00439654	8.490904106	1374.872433	2.643271853	3074.320094	20494.53582	22335.86359	2345.821167	23.51491082	101.0154628	0.003462234	0.192351912	2.828013225	26.14624111	0.002321711	0.012447117	0.239655129	2.17799507	20.11635694	0.006816407		0.80811712	0.843209409	0.3648478	0.040738682	0.049827989	0.057776229	0.971788083	0.034023399	0.034023383	1.402966053	2.840639194	8.55638205	12.64628798	2.189436378	0.940960801	0.85099434	-0.00723281	-0.43378916	0.084923766	0.077690956	0.314536535	0.362611675	0.501438979	48.46697558	26.5340619	27.35963916	7.897992082	59.40961706	36.25660835	19.86257177	311.8550534	30.65095815
E1.0_P11_2D_Ctrl_L	Leaf	Control	2 d	Populus trichocarpa	25.5303269	6.541681807	1416.258455	2.295227709	2813.334903	24853.32625	18216.84425	2094.56596	16.9174438	101.6671707	0.003389574	0.201549506	2.236777493	25.92993396	0.001707113	0.002207803	0.300314564	1.547043934	20.00501335	0.007948047		0.771680182	0.824653759	0.304743012	0.017501318	0.027068722	0.035524346	0.972385095	0.031491035	0.031557533	1.414787115	2.419097932	7.860917847	11.72915852	1.90179281	0.888395647	0.846058769	-0.000777874	-0.041385811	0.093284955	0.092507081	0.243812633	0.3395311	0.435061682	41.05625596	23.70467427	27.97570522	8.087086	52.80505279	32.48310166	18.04670632	255.9630151	22.00570627
E1.0_P17_2D_Ctrl_L	Leaf	Control	2 d	Populus trichocarpa	21.77037756	6.054341939	1310.454492	2.805816585	2857.334992	26337.27831	19606.35741	1848.363382	20.29856303	103.9282326	0.00325826	0.165500649	4.541705854	26.95126704	0.002988714	0.002536634	0.39371327	1.38537349	22.1984675	0.006240493		0.731120842	0.788314305	0.278026129	0.011752643	0.020979117	0.029280513	0.972441128	0.032590495	0.032617478	1.410631151	2.153681574	6.549624203	9.581715043	1.790818163	0.820964651	0.818809053	-0.001281446	-0.075218013	0.070626781	0.069345335	0.185346596	0.309944161	0.398409297	42.91515583	26.02701223	32.72799911	10.39320049	58.18136525	35.94305272	20.15670461	266.4262384	20.63614203
E1.0_P13_2D_Ctrl_L	Leaf	Control	2 d	Populus trichocarpa	26.05136554	7.358109034	1541.253049	1.972051896	3325.467538	25625.20841	18661.38356	2554.424404	18.21247271	116.8387951	0.003341573	0.105765189	2.712077619	30.3768546	0.001740676	0.001422729	0.382645029	2.023782639	22.54319228	0.006239524		0.749870758	0.810769597	0.2806388	0.017964841	0.027535454	0.035920705	0.975309666	0.029118855	0.02914234	1.383796497	2.216699178	7.623131349	11.02769612	1.800931863	0.824515594	0.83606755	-0.002564139	-0.137844186	0.081925695	0.079361557	0.216516127	0.342709614	0.406212566	40.31190788	24.59127294	29.84135363	9.044408542	53.46074589	33.48443182	18.7931886	247.8593	19.51135927
E1.0_P6_2D_FeEX_L	Leaf	FeEX	2 d	Populus trichocarpa	28.59034795	5.515798969	1170.331517	2.072836003	2639.355773	21092.57101	22045.21549	2409.000061	23.62917068	95.15730936	0.002920771	0.186701086	1.772416781	27.43909655	0.003761528	0.002010028	0.306372848	2.460247035	19.97808728	0.007165457		0.766603304	0.811890488	0.317797845	0.038302157	0.047145589	0.054821728	0.974091766	0.028520672	0.028546983	1.348821251	2.459992558	7.326394546	10.44454201	1.96178478	0.829143808	0.822706879	-0.005351701	-0.284720596	0.077371473	0.072019772	0.256359352	0.349273491	0.445255137	40.78474056	25.66746368	27.15061029	8.554701416	52.8808938	34.0073923	19.72608943	257.4495583	22.42203363
E1.0_P10_2D_FeEX_L	Leaf	FeEX	2 d	Populus trichocarpa	22.09838693	5.861470637	1501.880142	3.357727237	3114.350244	28440.16178	17974.44237	1778.947106	21.47364418	100.596689	0.002891127	0.210235234	1.582498546	25.61445144	0.001878412	0.006902143	0.454968776	1.284251812	20.02140226	0.006603236		0.791520732	0.835136585	0.330142858	0.018755868	0.028892057	0.037690414	0.970407992	0.034185271	0.034250195	1.440467485	2.569961834	8.06948537	12.23497837	2.020139218	0.935434233	0.852368272	-0.003541674	-0.175722082	0.108808709	0.105267034	0.314932496	0.346615885	0.464940727	39.27172849	21.16995557	24.53287901	6.929846863	49.15977154	29.53910672	15.95602722	247.6567943	22.80509818
E1.0_P31_2D_FeEX_L	Leaf	FeEX	2 d	Populus trichocarpa	30.90690049	10.01578719	1319.305168	1.949382254	3345.809653	21894.63351	24580.82293	2452.430848	23.81192486	114.6211306	0.004101878	0.151540172	4.930768923	30.13320031	0.008869544	0.003379997	0.394954159	2.623034162	22.43265252	0.006818284		0.743960787	0.79629621	0.292888502	0.026087035	0.034859196	0.042530939	0.974347395	0.029076193	0.02904926	1.37301408	2.237498393	6.850967746	9.808756719	1.853941962	0.808128139	0.810736695	-0.004128722	-0.248695598	0.062484097	0.058355375	0.20115468	0.334955578	0.416323825	44.81284132	27.55834876	32.47164995	10.57054311	59.84734422	37.52939735	21.14383824	279.6215435	22.55644034
