reaction	max
rxn00001_d0_f	346.036225
rxn00018_d0	119.351674
rxn00029_d0	0.000000
rxn00048_d0	0.000000
rxn00060_d0	0.000000
rxn00069_d0_f	208.484841
rxn00076_d0	0.000000
rxn00077_d0_f	0.000000
rxn00086_d0_f	0.000000
rxn00097_d0_f	194.894943
rxn00102_d0_f	0.000000
rxn00117_d0_f	0.000000
rxn00121_d0	148.649822
rxn00122_d0	148.649822
rxn00124_d0_f	0.000000
rxn00148_d0_f	0.000000
rxn00151_d0	173.157625
rxn00154_c0	4.169499
rxn00154_d0	14.174578
rxn00161_d0_f	0.000000
rxn00175_d0	0.351318
rxn00187_d0	17.319837
rxn00191_d0_f	0.000000
rxn00192_d0	0.000000
rxn00208_d0	0.000000
rxn00209_d0	0.000000
rxn00211_d0_f	0.795897
rxn00224_d0_f	0.000000
rxn00237_d0_f	0.171155
rxn00248_d0_f	318.395622
rxn00249_d0_f	280.556899
rxn00257_c0_f	0.000000
rxn00260_d0_f	0.000000
rxn00272_d0_f	0.000000
rxn00275_d0_f	306.730686
rxn00300_d0	0.000000
rxn00313_d0	0.432392
rxn00333_d0	0.000000
rxn00337_d0_f	1.459323
rxn00338_d0	0.000000
rxn00361_d0_f	0.000000
rxn00379_d0	0.351318
rxn00391_d0_f	260.137189
rxn00392_d0_f	260.137189
rxn00394_d0_f	0.000000
rxn00409_d0_f	0.000000
rxn00414_d0	2.314032
rxn00416_d0	0.252229
rxn00420_d0	4.735375
rxn00459_d0_f	24.590917
rxn00474_d0	0.108098
rxn00490_d0	3.461720
rxn00493_d0_f	0.000000
rxn00495_c0	3.276372
rxn00499_c0_f	0.000000
rxn00506_d0_f	0.000000
rxn00526_d0	0.220700
rxn00527_d0_f	0.000000
rxn00533_d0	12.071941
rxn00611_d0_f	0.000000
rxn00646_d0	0.000000
rxn00689_d0_f	0.000000
rxn00692_d0_f	0.000000
rxn00693_d0_f	0.220700
rxn00710_c0	2.022459
rxn00720_d0_f	0.000000
rxn00727_d0	0.108098
rxn00737_d0	0.373839
rxn00747_d0_f	87.457434
rxn00770_d0_f	3.047765
rxn00777_d0_f	38.067125
rxn00781_d0_f	0.000000
rxn00782_d0_f	0.000000
rxn00799_c0_f	0.000000
rxn00800_d0_f	0.171155
rxn00802_d0_f	0.495449
rxn00806_d0_f	0.000000
rxn00830_d0_f	0.000000
rxn00838_d0	0.171155
rxn00839_d0_f	0.000000
rxn00863_d0_f	0.171155
rxn00903_d0_f	0.000000
rxn00907_d0_f	4.080511
rxn00947_d0	0.000000
rxn00974_d0_f	3.058283
rxn00980_d0	0.000000
rxn01000_d0	3.461720
rxn01007_d0	0.795897
rxn01011_d0_f	0.000000
rxn01018_d0	2.022459
rxn01019_d0	0.495449
rxn01069_d0	0.806231
rxn01100_d0_f	215.947690
rxn01101_d0_f	4.735375
rxn01102_d0_f	0.000000
rxn01106_d0_f	0.000000
rxn01111_d0_f	119.351674
rxn01115_d0_f	0.000000
rxn01116_d0_f	0.000000
rxn01200_d0_f	39.981763
rxn01211_d0_f	4.080511
rxn01213_d0	0.000000
rxn01249_d0_f	0.000000
rxn01255_d0	3.644563
rxn01256_d0	3.584450
rxn01257_d0_f	0.000000
rxn01258_d0_f	0.000000
rxn01300_d0	1.026931
rxn01301_d0_f	0.000000
rxn01302_d0_f	278.485886
rxn01332_d0	3.644563
rxn01334_d0_f	0.000000
rxn01345_d0	218.597681
rxn01353_d0_f	0.000000
rxn01361_c0_f	2.022459
rxn01362_c0_f	0.000000
rxn01396_d0_f	0.000000
rxn01434_d0	0.495449
rxn01465_d0_f	0.000000
rxn01476_d0_f	0.000000
rxn01486_d0	0.000000
rxn01512_d0_f	0.000000
rxn01575_d0_f	0.000000
rxn01611_c0	3.276372
rxn01629_d0_f	0.000000
rxn01636_d0_f	0.495449
rxn01637_d0_f	0.000000
rxn01643_d0_f	0.000000
rxn01644_d0	0.432392
rxn01652_d0_f	0.000000
rxn01673_d0_f	0.000000
rxn01678_d0_f	0.000000
rxn01682_d0_f	0.108098
rxn01739_d0_f	3.644563
rxn01740_d0_f	0.000000
rxn01807_d0_f	0.000000
rxn01827_d0	0.000000
rxn01917_d0_f	0.495449
rxn01974_d0_f	0.432392
rxn01975_d0_f	0.000000
rxn02056_d0_f	0.000000
rxn02159_d0_f	0.171155
rxn02160_d0	0.171155
rxn02212_d0	3.644563
rxn02213_d0_f	3.644563
rxn02251_d0	0.000000
rxn02264_d0_f	0.000000
rxn02288_d0	0.000000
rxn02303_d0	0.000000
rxn02304_d0_f	0.000000
rxn02305_d0_f	0.000000
rxn02320_d0_f	0.000000
rxn02374_d0	0.432392
rxn02380_d0_f	0.000000
rxn02465_d0_f	0.000000
rxn02473_d0	0.171155
rxn02474_d0_f	0.000000
rxn02475_d0	0.000000
rxn02476_d0_f	3.644563
rxn02484_d0_f	0.000000
rxn02507_d0	0.108098
rxn02508_d0_f	0.108098
rxn02733_d0_f	0.000000
rxn02789_d0_f	0.774702
rxn02811_d0_f	0.000000
