reaction	value	compound	role
EX_cpd00001_e0_i	95.592280	cpd00001	exchange
rxn05319_c0_i	95.592280	cpd00001	transport
rxn05319_c0_o	0.000000	cpd00001	transport-opposing
rxn05319_d0_i	95.592280	cpd00001	transport
rxn05319_d0_o	0.000000	cpd00001	transport-opposing
EX_cpd00007_e0_o	111.932184	cpd00007	exchange
rxn05468_c0_o	111.932184	cpd00007	transport
rxn05468_c0_i	0.000000	cpd00007	transport-opposing
rxn05468_d0_o	111.932184	cpd00007	transport
rxn05468_d0_i	0.000000	cpd00007	transport-opposing
EX_cpd00009_e0_i	5.520706	cpd00009	exchange
rxn09121_c0_i	5.520706	cpd00009	transport
rxn09121_c0_o	0.000000	cpd00009	transport-opposing
rxn09121_d0_i	5.520706	cpd00009	transport
rxn09121_d0_o	0.000000	cpd00009	transport-opposing
EX_cpd00011_e0_i	109.265404	cpd00011	exchange
rxn05467_c0_i	109.265404	cpd00011	transport
rxn05467_c0_o	0.000000	cpd00011	transport-opposing
rxn05467_d0_i	109.265404	cpd00011	transport
rxn05467_d0_o	0.000000	cpd00011	transport-opposing
EX_cpd00013_e0_i	15.547783	cpd00013	exchange
rxn05466_c0_i	15.547783	cpd00013	transport
rxn05466_c0_o	0.000000	cpd00013	transport-opposing
rxn05466_d0_i	15.547783	cpd00013	transport
rxn05466_d0_o	0.000000	cpd00013	transport-opposing
EX_cpd00048_e0_i	0.351318	cpd00048	exchange
rxn05238_c0_i	0.351318	cpd00048	transport
rxn05238_c0_o	0.000000	cpd00048	transport-opposing
rxn05238_d0_i	0.351318	cpd00048	transport
rxn05238_d0_o	0.000000	cpd00048	transport-opposing
EX_cpd00067_e0_o	21.753473	cpd00067	exchange
rxn08730_c0_o	21.753473	cpd00067	transport
rxn08730_c0_i	0.000000	cpd00067	transport-opposing
rxn08730_d0_o	21.753473	cpd00067	transport
rxn08730_d0_i	0.000000	cpd00067	transport-opposing
EX_cpd00099_e0_i	0.000000	cpd00099	exchange
EX_cpd11632_e0_i	909.497991	cpd11632	exchange
rxn31154_d0_i	909.497991	cpd11632	transport
rxn31154_d0_o	0.000000	cpd11632	transport-opposing
