Total_Loss	Data_Loss	Mass_Loss	Data_Loss_Sq	Mass_Loss_Sq
6.935739062500000000e+04	0.000000000000000000e+00	6.935703125000000000e+04	0.000000000000000000e+00	4.810397696000000000e+09
3.171720898437500000e+04	0.000000000000000000e+00	3.171702148437500000e+04	0.000000000000000000e+00	1.005969472000000000e+09
2.697570703125000000e+04	0.000000000000000000e+00	2.697552929687500000e+04	0.000000000000000000e+00	7.276791680000000000e+08
7.020219531250000000e+04	0.000000000000000000e+00	7.020178125000000000e+04	0.000000000000000000e+00	4.928290304000000000e+09
5.627796093750000000e+04	0.000000000000000000e+00	5.627775390625000000e+04	0.000000000000000000e+00	3.167185664000000000e+09
7.125383593750000000e+04	0.000000000000000000e+00	7.125327343750000000e+04	0.000000000000000000e+00	5.077028864000000000e+09
3.400362109375000000e+04	0.000000000000000000e+00	3.400339453125000000e+04	0.000000000000000000e+00	1.156230784000000000e+09
3.092546875000000000e+04	0.000000000000000000e+00	3.092523242187500000e+04	0.000000000000000000e+00	9.563699840000000000e+08
9.498182031250000000e+04	0.000000000000000000e+00	9.498121093750000000e+04	0.000000000000000000e+00	9.021430784000000000e+09
7.721046093750000000e+04	0.000000000000000000e+00	7.721024218750000000e+04	0.000000000000000000e+00	5.961421312000000000e+09
2.806246679687500000e+04	0.000000000000000000e+00	2.806228125000000000e+04	0.000000000000000000e+00	7.874916480000000000e+08
7.973721191406250000e+03	0.000000000000000000e+00	7.973652343750000000e+03	0.000000000000000000e+00	6.357913200000000000e+07
4.526596679687500000e+03	0.000000000000000000e+00	4.526556152343750000e+03	0.000000000000000000e+00	2.048971000000000000e+07
5.299428222656250000e+03	0.000000000000000000e+00	5.299384765625000000e+03	0.000000000000000000e+00	2.808347800000000000e+07
5.308309570312500000e+03	0.000000000000000000e+00	5.308279296875000000e+03	0.000000000000000000e+00	2.817783000000000000e+07
9.420894531250000000e+03	0.000000000000000000e+00	9.420840820312500000e+03	0.000000000000000000e+00	8.875224000000000000e+07
6.059724121093750000e+03	0.000000000000000000e+00	6.059689941406250000e+03	0.000000000000000000e+00	3.671984400000000000e+07
4.747714355468750000e+03	0.000000000000000000e+00	4.747676757812500000e+03	0.000000000000000000e+00	2.254043400000000000e+07
5.848977050781250000e+03	0.000000000000000000e+00	5.848929687500000000e+03	0.000000000000000000e+00	3.420998000000000000e+07
7.469937500000000000e+03	0.000000000000000000e+00	7.469888183593750000e+03	0.000000000000000000e+00	5.579922800000000000e+07
4.691732910156250000e+03	0.000000000000000000e+00	4.691699707031250000e+03	0.000000000000000000e+00	2.201204600000000000e+07
7.197915039062500000e+03	0.000000000000000000e+00	7.197874023437500000e+03	0.000000000000000000e+00	5.180939200000000000e+07
8.938652343750000000e+03	0.000000000000000000e+00	8.938609375000000000e+03	0.000000000000000000e+00	7.989873600000000000e+07
5.546064941406250000e+03	0.000000000000000000e+00	5.546030273437500000e+03	0.000000000000000000e+00	3.075845200000000000e+07
