Exchanges:  {'EX_cpd00067_e0_o': 21.753473, 'EX_cpd00007_e0_o': 111.932184, 'EX_cpd00048_e0_i': 0.351318, 'EX_cpd00001_e0_i': 95.59228, 'EX_cpd00013_e0_i': 15.547783, 'EX_cpd11632_e0_i': 909.497991, 'EX_cpd00011_e0_i': 109.265404, 'EX_cpd00009_e0_i': 5.520706, 'EX_cpd00099_e0_i': 0.0}
[Init] V0_init=-2: unscored reactions left at 0 (no mean/2 imputation)

[Init] Injecting 9 exchange flux ceilings into V0...
-> Successfully replaced 9 matrix columns.

[Init] media chain: set 39 columns from media_chain_init.tsv
-> [Init] Successfully forced 'bio1' initialization to 0.0
[EarlyStop] patience_limit=500  min_delta=0.001
QP-Loss 1000 2104.6855 1279.738
QP-Loss 2000 925.0264 387.2033
QP-Loss 3000 606.4478 221.87502
QP-Loss 4000 460.62354 164.45073
QP-Loss 5000 372.96045 134.51546
QP-Loss 6000 311.61832 113.87074
QP-Loss 7000 265.1351 97.59543
QP-Loss 8000 228.13335 84.184395
QP-Loss 9000 197.79826 72.89879
QP-Loss 10000 172.3962 63.319897
QP-Loss 11000 150.84772 55.148254
QP-Loss 12000 132.40607 48.156807
QP-Loss 13000 116.538216 42.181816
QP-Loss 14000 102.81858 37.072426
QP-Loss 15000 90.91882 32.70709
QP-Loss 16000 80.56341 28.9938
QP-Loss 17000 71.53605 25.84081
QP-Loss 18000 63.644398 23.16831
QP-Loss 19000 56.734406 20.911776
QP-Loss 20000 50.67929 19.017637
QP-Loss 21000 45.370464 17.437016
QP-Loss 22000 40.718964 16.133371
QP-Loss 23000 36.62532 15.034383
QP-Loss 24000 33.00912 14.088433
QP-Loss 25000 29.813293 13.271474
QP-Loss 26000 26.991297 12.56852
QP-Loss 27000 24.491888 11.948406
QP-Loss 28000 22.270508 11.387115
QP-Loss 29000 20.292585 10.871438
QP-Loss 30000 18.528234 10.392037
QP-Loss 31000 16.951843 9.942079
QP-Loss 32000 15.540939 9.516897
QP-Loss 33000 14.277977 9.110914
QP-Loss 34000 13.144195 8.722603
QP-Loss 35000 12.1249695 8.3502655
QP-Loss 36000 11.207101 7.99588
QP-Loss 37000 10.379878 7.658505
QP-Loss 38000 9.632934 7.3343787
QP-Loss 39000 8.956758 7.02322
QP-Loss 40000 8.343721 6.724954
QP-Loss 41000 7.7866135 6.438794
QP-Loss 42000 7.279236 6.1640964
QP-Loss 43000 6.816118 5.9005585
QP-Loss 44000 6.393109 5.6476455
QP-Loss 45000 6.005718 5.405092
QP-Loss 46000 5.650514 5.172618
QP-Loss 47000 5.3243604 4.949964
QP-Loss 48000 5.0242286 4.736702
QP-Loss 49000 4.7475715 4.5326004
QP-Loss 50000 4.4920325 4.3373556
QP-Loss 51000 4.2556195 4.1506033
QP-Loss 52000 4.036514 3.9720662
QP-Loss 53000 3.8330853 3.8014314
QP-Loss 54000 3.6439419 3.6383862
QP-Loss 55000 3.4678032 3.482615
QP-Loss 56000 3.3035429 3.3338935
QP-Loss 57000 3.150081 3.19181
QP-Loss 58000 3.006569 3.0561562
QP-Loss 59000 2.8721607 2.926614
QP-Loss 60000 2.7460663 2.802977
QP-Loss 61000 2.6276484 2.6849563
QP-Loss 62000 2.516255 2.5723734
QP-Loss 63000 2.4115527 2.4649098
QP-Loss 64000 2.312894 2.3623421
QP-Loss 65000 2.2198944 2.2645216
QP-Loss 66000 2.1320944 2.1711931
QP-Loss 67000 2.0491388 2.08214
QP-Loss 68000 1.9706911 1.9971763
QP-Loss 69000 1.8964242 1.9160933
QP-Loss 70000 1.826047 1.8387127
QP-Loss 71000 1.7593495 1.7648741
QP-Loss 72000 1.6960143 1.6943783
QP-Loss 73000 1.6359081 1.6271139
QP-Loss 74000 1.5787655 1.5629007
QP-Loss 75000 1.5244612 1.5016189
QP-Loss 76000 1.4727631 1.4431067
QP-Loss 77000 1.4235815 1.3872854
QP-Loss 78000 1.3766693 1.3339711
QP-Loss 79000 1.3319589 1.2830695
QP-Loss 80000 1.2892923 1.2344946
QP-Loss 81000 1.2485961 1.1880879
QP-Loss 82000 1.2097692 1.1437792
QP-Loss 83000 1.1726756 1.1014556
QP-Loss 84000 1.1372193 1.0610406
QP-Loss 85000 1.1033297 1.022414
QP-Loss 86000 1.0709008 0.98554647
QP-Loss 87000 1.0398645 0.95030123
QP-Loss 88000 1.0101753 0.9166426
QP-Loss 89000 0.9817176 0.88444877
QP-Loss 90000 0.95444965 0.85368115
QP-Loss 91000 0.9283192 0.824265
QP-Loss 92000 0.90324026 0.79613405
QP-Loss 93000 0.87918186 0.76924646
QP-Loss 94000 0.8561139 0.7435276
QP-Loss 95000 0.83395624 0.7188937
QP-Loss 96000 0.8126901 0.6953251
QP-Loss 97000 0.79228896 0.67277193
QP-Loss 98000 0.77267224 0.6511816
QP-Loss 99000 0.7538316 0.63051236
QP-Loss 100000 0.73572063 0.6107221
QP-Loss 101000 0.71829396 0.59176844
QP-Loss 102000 0.7015204 0.57360727
QP-Loss 103000 0.6853862 0.55621797
QP-Loss 104000 0.6698443 0.53955245
QP-Loss 105000 0.65486676 0.5235899
QP-Loss 106000 0.64043665 0.5082866
QP-Loss 107000 0.6265304 0.49362198
QP-Loss 108000 0.6131215 0.47955012
QP-Loss 109000 0.60018396 0.46606618
QP-Loss 110000 0.587714 0.4531185
QP-Loss 111000 0.5756799 0.44069898
QP-Loss 112000 0.5640475 0.4287816
QP-Loss 113000 0.5528198 0.4173286
QP-Loss 114000 0.5419674 0.40634248
QP-Loss 115000 0.5315014 0.39580703
QP-Loss 116000 0.5214023 0.38569003
QP-Loss 117000 0.5116255 0.37595707
QP-Loss 118000 0.50215316 0.3666019
QP-Loss 119000 0.4929727 0.35760787
QP-Loss 120000 0.48408452 0.3489699
QP-Loss 121000 0.47550702 0.3406637
QP-Loss 122000 0.46718955 0.33268154
QP-Loss 123000 0.45911172 0.32501206
QP-Loss 124000 0.4512713 0.31762224
QP-Loss 125000 0.4436697 0.31050643
QP-Loss 126000 0.43629518 0.30366728
QP-Loss 127000 0.42914215 0.2970933
QP-Loss 128000 0.4221945 0.2907672
QP-Loss 129000 0.41544268 0.28466648
QP-Loss 130000 0.40888023 0.2787905
QP-Loss 131000 0.40248993 0.27311164
QP-Loss 132000 0.396287 0.26765886
QP-Loss 133000 0.3902533 0.26239258
QP-Loss 134000 0.38438424 0.25734007
QP-Loss 135000 0.3786653 0.25245675
QP-Loss 136000 0.3730996 0.24774721
QP-Loss 137000 0.36767945 0.24320027
QP-Loss 138000 0.3624022 0.23881052
QP-Loss 139000 0.35725865 0.23456526
QP-Loss 140000 0.35224453 0.2304635
QP-Loss 141000 0.34735262 0.22650069
QP-Loss 142000 0.34258267 0.22267896
QP-Loss 143000 0.3379359 0.21897869
QP-Loss 144000 0.3334031 0.2154031
QP-Loss 145000 0.32897535 0.21194205
QP-Loss 146000 0.32464156 0.20856655
QP-Loss 147000 0.3204199 0.20532563
QP-Loss 148000 0.3162821 0.20215999
QP-Loss 149000 0.3122349 0.19906843
QP-Loss 150000 0.30829072 0.19609678
QP-Loss 151000 0.3044395 0.19320606
QP-Loss 152000 0.30067363 0.1903929
QP-Loss 153000 0.2969992 0.18769014
QP-Loss 154000 0.29339242 0.18503952
QP-Loss 155000 0.28986028 0.18246107
QP-Loss 156000 0.28641352 0.17998561
QP-Loss 157000 0.28303388 0.17756018
QP-Loss 158000 0.27971816 0.1751834
QP-Loss 159000 0.27647355 0.17288175
QP-Loss 160000 0.27329227 0.17063971
QP-Loss 161000 0.2701708 0.16844459
QP-Loss 162000 0.267115 0.16631998
QP-Loss 163000 0.26411393 0.16423999
QP-Loss 164000 0.26117277 0.16221355
QP-Loss 165000 0.25828722 0.16022834
QP-Loss 166000 0.25547498 0.15830624
QP-Loss 167000 0.25271276 0.15642144
QP-Loss 168000 0.24999994 0.15458392
QP-Loss 169000 0.2473371 0.15279014
QP-Loss 170000 0.24472241 0.1510451
QP-Loss 171000 0.24214782 0.14932546
QP-Loss 172000 0.2396199 0.1476375
QP-Loss 173000 0.23713751 0.14598833
QP-Loss 174000 0.23470454 0.1443913
QP-Loss 175000 0.23231357 0.14282705
QP-Loss 176000 0.22995985 0.14128852
QP-Loss 177000 0.22764407 0.13977359
QP-Loss 178000 0.22536391 0.13828327
QP-Loss 179000 0.22312753 0.13683805
QP-Loss 180000 0.22093356 0.1354314
QP-Loss 181000 0.21877246 0.13404277
QP-Loss 182000 0.21664341 0.13267206
QP-Loss 183000 0.21454887 0.1313245
QP-Loss 184000 0.21248478 0.12999654
QP-Loss 185000 0.21046138 0.12871625
QP-Loss 186000 0.20847249 0.12746164
QP-Loss 187000 0.2065102 0.12622146
QP-Loss 188000 0.20457733 0.12499811
QP-Loss 189000 0.20267157 0.12379267
QP-Loss 190000 0.20079553 0.12260641
QP-Loss 191000 0.19895267 0.12145053
QP-Loss 192000 0.19714196 0.12032092
QP-Loss 193000 0.19535582 0.11920474
QP-Loss 194000 0.19359331 0.118104465
QP-Loss 195000 0.19185527 0.11701832
QP-Loss 196000 0.19014208 0.115945496
QP-Loss 197000 0.18845451 0.11488954
QP-Loss 198000 0.18679364 0.11385414
QP-Loss 199000 0.18515448 0.11283039
QP-Loss 200000 0.18353896 0.11182525
QP-Loss 201000 0.18194996 0.110841125
QP-Loss 202000 0.18038309 0.10987176
QP-Loss 203000 0.17883527 0.10891403
QP-Loss 204000 0.17730689 0.107966065
QP-Loss 205000 0.17579766 0.107027024
QP-Loss 206000 0.17431314 0.10611158
QP-Loss 207000 0.17284875 0.10520616
QP-Loss 208000 0.17140354 0.10431222
QP-Loss 209000 0.16997598 0.10342944
QP-Loss 210000 0.16856842 0.10256133
QP-Loss 211000 0.16717906 0.10170441
QP-Loss 212000 0.16580757 0.10085821
QP-Loss 213000 0.16445272 0.100020915
QP-Loss 214000 0.16311596 0.09919596
QP-Loss 215000 0.1618005 0.09839266
QP-Loss 216000 0.16050327 0.09760651
QP-Loss 217000 0.15922447 0.096833974
QP-Loss 218000 0.15796457 0.09607349
QP-Loss 219000 0.15672094 0.09532055
QP-Loss 220000 0.1554941 0.09457909
QP-Loss 221000 0.15428251 0.09384617
QP-Loss 222000 0.15308584 0.09312293
QP-Loss 223000 0.1519038 0.092408836
QP-Loss 224000 0.1507344 0.09170154
QP-Loss 225000 0.14957994 0.09100436
QP-Loss 226000 0.14844935 0.09032158
QP-Loss 227000 0.1473322 0.08964546
QP-Loss 228000 0.14622675 0.088974886
QP-Loss 229000 0.14513172 0.088307425
QP-Loss 230000 0.14404716 0.08764356
QP-Loss 231000 0.14297546 0.08698709
QP-Loss 232000 0.14191668 0.08633996
QP-Loss 233000 0.14086942 0.08569799
QP-Loss 234000 0.13983384 0.08506158
QP-Loss 235000 0.13881038 0.084432416
QP-Loss 236000 0.13779737 0.08380729
QP-Loss 237000 0.13679393 0.08318642
QP-Loss 238000 0.13580127 0.08257139
QP-Loss 239000 0.1348197 0.0819592
QP-Loss 240000 0.1338482 0.081350334
QP-Loss 241000 0.13288696 0.080745146
QP-Loss 242000 0.13193549 0.08014438
QP-Loss 243000 0.13099326 0.079547964
QP-Loss 244000 0.13006036 0.0789557
QP-Loss 245000 0.12913676 0.078370385
QP-Loss 246000 0.128222 0.07779022
QP-Loss 247000 0.12731685 0.07721481
QP-Loss 248000 0.12642206 0.076646075
QP-Loss 249000 0.1255361 0.07608105
QP-Loss 250000 0.124658845 0.07551978
QP-Loss 251000 0.12379068 0.07496484
QP-Loss 252000 0.122930296 0.07441235
QP-Loss 253000 0.122077346 0.07386228
QP-Loss 254000 0.121231794 0.073315434
QP-Loss 255000 0.12039432 0.07277454
QP-Loss 256000 0.119565286 0.072238505
QP-Loss 257000 0.11874417 0.0717066
QP-Loss 258000 0.11793091 0.07117854
QP-Loss 259000 0.11712623 0.070656195
QP-Loss 260000 0.11632941 0.07013905
QP-Loss 261000 0.11553973 0.06962547
QP-Loss 262000 0.11475744 0.069115564
QP-Loss 263000 0.11398184 0.06860885
QP-Loss 264000 0.1132131 0.068104364
