Total_Loss	Data_Loss	Mass_Loss
4.035434126853942871e-02	2.239566296339035034e-03	3.811142221093177795e-02
3.234527632594108582e-02	1.871645217761397362e-03	3.047148697078227997e-02
2.095053158700466156e-02	3.357219044119119644e-03	1.759331300854682922e-02
3.486203029751777649e-02	1.979380380362272263e-03	3.287958726286888123e-02
3.597265109419822693e-02	2.594028832390904427e-03	3.337577357888221741e-02
3.490086272358894348e-02	2.696252427995204926e-03	3.220161795616149902e-02
2.845360198989510536e-03	3.944968630094081163e-04	2.450863365083932877e-03
2.439931733533740044e-03	3.531132533680647612e-04	2.086818451061844826e-03
3.555443137884140015e-02	2.526604104787111282e-03	3.302483633160591125e-02
3.248544037342071533e-02	2.453948603942990303e-03	3.002857044339179993e-02
1.420411746948957443e-02	2.818170934915542603e-03	1.138594653457403183e-02
3.341948740853695199e-06	4.630089733836939558e-07	2.878939540096325800e-06
5.426203983915911522e-07	1.998533463165585999e-07	3.427591082072467543e-07
6.486235974989540409e-07	2.142160866469566827e-07	4.343510795479232911e-07
5.482223173203237820e-07	1.814949825984513154e-07	3.666784209599427413e-07
4.665683093207917409e-07	1.770040967130626086e-07	2.895642126077291323e-07
5.474050794873619452e-07	1.844027934794212342e-07	3.629579055086651351e-07
5.595751417786232196e-07	1.792316624005252379e-07	3.803368429089459823e-07
5.738887693951255642e-07	1.881518869595311116e-07	3.857114165839448106e-07
1.313360485255543608e-06	3.017111396275140578e-07	1.011648464555037208e-06
6.059311772332875989e-07	1.919367917935232981e-07	4.139822920024016639e-07
8.070084618339024018e-07	1.920517860298787127e-07	6.149246587483503390e-07
4.444934234015818220e-07	1.637871491766418330e-07	2.807062742249399889e-07
3.085989419560064562e-07	1.142609420412554755e-07	1.943379999147509807e-07
